no,IUCN,IUCNtyp,subfam,NPG,tribe,gen,ecores,trend,ndist,curdist,range,endem,alt,hbt,cult,mode,hab,ht,arm,hair,leaflmin,leaflmax,llmaxcov,leafmarg,leaftype,flordisp,hook,deh,seedsize,seedcoat
2576,7,OTH,1,1,1,Barklya,0,NA,5,5,1,1,NA,2,0,2,1,3,0,0,1,3,10,1,2,2,NA,0,NA,NA
2584,8,OTH,1,1,1,Bauhinia,1,NA,3,7,1,NA,NA,2,NA,2,2,NA,1,1,1,1,2,1,2,1,NA,NA,NA,NA
2585,8,OTH,1,1,1,Bauhinia,1,NA,2,2,1,0,NA,NA,NA,2,2,2,0,1,4,4,14,1,2,2,0,1,1,NA
2586,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,1,1,2,0,2,2,2,0,1,2,3,10,1,2,2,0,NA,NA,NA
2587,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,2,0,2,3,3,0,1,2,2,6,1,2,2,0,1,2,NA
2588,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,1,0,2,1,3,0,1,NA,6,22,1,2,2,0,NA,3,NA
2589,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,3,6,22,1,2,2,0,1,NA,NA
2590,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,2,2,0,1,1,2,6,1,2,2,NA,1,NA,NA
2591,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,1,1,1,0,2,3,NA,0,1,2,2,6,1,2,2,0,1,2,NA
2592,4,D2,1,1,1,Bauhinia,-1,NA,3,3,1,0,1,3,0,2,2,2,0,1,1,2,6,1,2,2,NA,NA,NA,NA
2593,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,3,0,2,2,NA,0,1,1,3,10,1,2,2,0,1,NA,NA
2594,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,NA,1,0,2,3,NA,0,1,NA,5,18,1,2,2,0,NA,1,NA
2595,7,OTH,1,1,1,Bauhinia,0,NA,3,3,1,0,NA,NA,0,2,1,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA
2596,7,OTH,1,1,1,Bauhinia,0,NA,2,2,1,0,1,3,0,2,3,NA,0,0,2,3,10,1,2,2,0,1,1,NA
2597,7,OTH,1,1,1,Bauhinia,0,NA,7,7,2,0,1,3,0,2,1,2,0,1,1,2,6,1,3,2,0,0,2,NA
2598,4,D2,1,1,1,Bauhinia,-1,NA,2,7,1,0,NA,2,0,2,1,2,0,1,1,1,2,1,2,2,0,1,1,NA
2599,7,OTH,1,1,1,Bauhinia,0,NA,1,1,1,0,NA,NA,0,2,2,2,0,1,1,2,6,1,2,2,0,1,NA,NA
